,Species,Native/Introduced,
1,ACHY,N,
2,ACMI,N,
3,AEGE,I,
4,ALGE,N,
5,AMAC,N,
6,AMDI,N,
7,ANRO,N,
8,ARCA,N,
9,ARFE,N,
10,ARPU,N,
11,ASHU,N,
12,ASSP,N,
13,ATCA,N,
14,ATCO,N,
15,BASC,I,
16,BLTR,N,
17,BOBA,N,
18,BOER,N,
19,BOGR,N,
20,BOGR ,N,
21,BRPO,N,
22,CAGE,N,
23,CAJA,N,should be POJA (Pomeria jamesii)
24,CAPA,N,
25,CASP,N,
26,CEDI,I,
27,CHAL,I,
28,CHDE,N,
29,CHEN,I,
30,CHER,N,
31,CHRE,N,
32,CHSE,N,
33,CHSES,N,
34,CISP,N_I,
35,CIWH,N,
36,COAR,I,
37,CRFE,N,
38,DAPU,N,
39,DEOB,N,
40,ELEL,N,
41,EPBR,N,
42,EPVI,N,
43,ERFL,N,
44,ERFO,N,
45,ERNA,N,
46,ERRA,N,
47,ERSP,N,
48,FEAR,N,
49,FEAR ,N,
50,GESP,N,
51,GETR,N,
52,GLGO,N,
53,GUMI,N,
54,GUSA,N,
55,HECO,N,
56,HELO,N,
57,HYHO,N,
58,IRMI,N,
59,JUMO,N,
60,KOAM,I,
61,KRLA,N,
62,LASE,I,
63,LILE,N,
64,LOSP,N,
65,LUAR,N,
66,LUKI,N,
67,LUSP,N,
68,MEAL,N,
69,MEMO,N,
70,MESP,N,
71,MIAL,N,
72,MUMO,N,
73,MURI,N,
74,OXLA,N,
75,PEVI,N,
76,PHPR,NA,
77,PLJA,N,
78,PLRI,N,
79,PODO,N,
80,POHI,N,
81,POOL,I,
82,POPR,I,
83,PSMO,N,
84,PTAQ,N,
85,ROAM,NA,
86,ROWO,N,
87,SATR,I,
88,SEBA,N,
89,SESP,N,
90,SOEL,N,
91,SPAI,N,
92,SPCO,N,
93,SPHA,N,
94,STTE,N,
95,TAOF,I,
96,TRDU,I,
97,UKFO,NA,
98,UKGR,NA,
99,UNK1,NA,
100,UNK2,NA,
101,UNK3,NA,
102,UNK4,NA,
103,UNK5,NA,
104,UNK6,NA,
105,UNK7,NA,
106,UNK8,NA,
107,VETH,I,
108,VIAM,N,
109,ZIGR,N,
